pid,age,gender,country,login_count_24h,repeat_login_count_24h,active_days_24h,avg_login_gap_minutes,jobs_started_24h,unique_jobs_started_24h,career_jobs_started_24h,special_jobs_started_24h,freeplay_jobs_started_24h,challenge_jobs_started_24h,jobs_completed_24h,career_jobs_completed_24h,special_jobs_completed_24h,freeplay_jobs_completed_24h,challenge_jobs_completed_24h,tasks_completed_24h,subtasks_completed_24h,jobs_exited_24h,avg_session_length_exit,max_session_length_exit,avg_session_length,max_session_length,distinct_jobs_played,interruption_count,avg_interruption_session,longest_interrupted_session,career_play_ratio,special_play_ratio,freeplay_ratio,challenge_ratio,retained
p10032,35,Female,USA,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,43,2,17.5000000000000000,30,2.5000000000000000,5,2,2,17.5000000000000000,30,1,0,0,0,1
p10033,18,Male,UK,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,30,2,8.5000000000000000,9,4.0000000000000000,8,2,2,8.5000000000000000,9,1,0,0,0,0
p4777,44,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p6114,40,Male,Taiwan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p7611,47,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p8459,35,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p1,22,Male,USA,3,2,1,152.9833333333333334,3,3,2,1,0,0,4,3,1,0,0,13,254,6,30.1666666666666667,45,21.3333333333333333,43,3,6,30.1666666666666667,45,0.6666666666666666,0.3333333333333333,0,0,1
p10,28,Female,Czech Republic,2,1,1,1195.4500000000000000,14,14,14,0,0,0,13,13,0,0,0,21,1095,14,422.6428571428571429,846,416.1428571428571429,846,14,14,422.6428571428571429,846,1,0,0,0,1
p100,20,Transgender,UK,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,10,1,240.0000000000000000,240,1.00000000000000000000,1,1,1,240.0000000000000000,240,1,0,0,0,0
p1000,18,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10000,44,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10001,20,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10002,30,"Non-binary,Transgender",USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10003,25,Female,Australia,2,1,1,100.7666666666666667,2,2,1,1,0,0,1,0,1,0,0,1,145,3,65.3333333333333333,99,50.0000000000000000,97,2,3,65.3333333333333333,99,0.5,0.5,0,0,1
p10004,45,Male,UK,2,1,1,266.8000000000000000,5,5,5,0,0,0,5,5,0,0,0,13,395,6,43.0000000000000000,143,15.2000000000000000,51,5,6,43.0000000000000000,143,1,0,0,0,1
p10006,18,Male,Germany,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10007,32,Transgender,USA,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,43,1,24.0000000000000000,24,0.00000000000000000000,0,1,1,24.0000000000000000,24,1,0,0,0,1
p10008,22,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10009,32,Female,USA,1,0,1,0,4,4,4,0,0,0,3,3,0,0,0,9,191,4,142.5000000000000000,181,112.0000000000000000,163,4,4,142.5000000000000000,181,1,0,0,0,0
p1001,30,Female,Australia,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,140,2,33.5000000000000000,59,4.5000000000000000,8,2,2,33.5000000000000000,59,1,0,0,0,0
p10010,25,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10011,18,Female,USA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,166,2,42.5000000000000000,49,0,0,0,2,42.5000000000000000,49,0,0,0,0,1
p10012,20,Female,Netherlands,1,0,1,0,2,2,1,1,0,0,1,1,0,0,0,1,77,2,30.5000000000000000,49,7.5000000000000000,12,2,2,30.5000000000000000,49,0.5,0.5,0,0,1
p10013,19,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10014,33,Male,Netherlands,1,0,1,0,2,2,2,0,0,0,1,1,0,0,0,1,34,2,8.5000000000000000,9,4.0000000000000000,8,2,2,8.5000000000000000,9,1,0,0,0,1
p10015,26,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10016,18,Male,USA,1,0,1,0,3,3,3,0,0,0,2,2,0,0,0,10,238,3,88.3333333333333333,141,41.3333333333333333,122,3,3,88.3333333333333333,141,1,0,0,0,1
p10017,25,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10018,20,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
p10019,31,Male,,3,2,1,35.3250000000000000,4,4,4,0,0,0,3,3,0,0,0,3,170,5,21.8000000000000000,65,13.2500000000000000,25,4,5,21.8000000000000000,65,1,0,0,0,1
p1002,41,Male,Germany,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,30,1,10.0000000000000000,10,1.00000000000000000000,1,1,1,10.0000000000000000,10,1,0,0,0,0
p10020,,Male,USA,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,102,3,75.3333333333333333,99,63.5000000000000000,75,2,3,75.3333333333333333,99,1,0,0,0,1
p10021,39,Male,USA,1,0,1,0,3,3,3,0,0,0,2,2,0,0,0,9,111,3,61.3333333333333333,110,24.6666666666666667,69,3,3,61.3333333333333333,110,1,0,0,0,1
p10022,19,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10023,28,Male,USA,3,2,1,172.6916666666666667,4,4,4,0,0,0,5,5,0,0,0,8,306,6,48.0000000000000000,75,24.5000000000000000,35,4,6,48.0000000000000000,75,1,0,0,0,1
p10024,26,Female,USA,2,1,1,485.5333333333333333,7,7,7,0,0,0,7,7,0,0,0,15,658,9,226.0000000000000000,545,166.1428571428571429,424,7,9,226.0000000000000000,545,1,0,0,0,1
p10025,24,Female,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10026,35,Male,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10027,26,Male,Australia,1,0,1,0,2,2,2,0,0,0,2,2,0,0,0,2,123,2,66.5000000000000000,130,1.5000000000000000,3,2,2,66.5000000000000000,130,1,0,0,0,1
p10028,21,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10029,30,Male,France,2,1,1,215.9500000000000000,41,41,38,3,0,0,39,37,2,0,0,48,4683,41,26.9024390243902439,54,25.6097560975609756,49,41,41,26.9024390243902439,54,0.926829268292683,0.07317073170731707,0,0,0
p1003,20,Male,Finland,1,0,1,0,4,4,4,0,0,0,3,3,0,0,0,4,187,5,40.0000000000000000,56,24.2500000000000000,46,4,5,40.0000000000000000,56,1,0,0,0,0
p10030,24,Male,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10031,26,Male,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10034,23,Male,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p10035,32,Female,USA,2,1,1,750.3166666666666667,3,3,3,0,0,0,3,3,0,0,0,9,273,6,132.1666666666666667,306,76.0000000000000000,110,3,6,132.1666666666666667,306,1,0,0,0,1
p10036,32,Female,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,281.0000000000000000,281,0,0,0,1,281.0000000000000000,281,0,0,0,0,1
